ID_ev_booking;date_start;title;subtitle;room;tag1_E;tag2_E;genre;cast_full;program_full
000000e9:001ab958;2025-11-18T19:30:00;Baroque Spectrum;il Pomo d’Oro & Anna Prohaska;Salle de Musique de Chambre;Soulful;Peaceful;Early music & Baroque;il Pomo d’Oro (orchestre) | Anna Prohaska (soprano) | Francesco Corti (direction) | Francesco Corti (clavecin) | Francesco Corti (orgue) | Rodrigo Gutiérrez (hautbois);Crato Bütner — «Ich suchte des Nachts in meinem Bette» | Heinrich Schütz — «Es steh Gott auf» | Christoph Bernhard — «Aus der Tiefen ruf ich Herr zu dir» | Dieterich Buxtehude — «Herzlich tut mich verlangen» | Dieterich Buxtehude — Sonate für Violine, Viola da gamba und Basso continuo op. 1/4 | Dieterich Buxtehude — «Klag-Lied» | Dieterich Buxtehude — «Herr, wenn ich nur Dich hab» | Reinhard Keiser — Sinfonia (Markus-Passion) | Georg Friedrich Händel — «Brich, mein Herz, zerfließ in Tränen» (Brockes-Passion HWV 48) | Georg Friedrich Händel — «Was Bärentatzen, Löwenklauen» (Brockes-Passion HWV 48) | Georg Friedrich Händel — Konzert für Oboe N° 3 HWV 287 | Georg Friedrich Händel — «Die ihr Gottes Gnad' versäumet» (Brockes-Passion HWV 48) | Johann Sebastian Bach — Sinfonia (Kantate «Ich hatte viel Bekümmernis» BWV 21) | Johann Sebastian Bach — «Seufzer, Tränen» (Kantate «Ich hatte viel Bekümmernis» BWV 21) | Johann Sebastian Bach — «Wie hast du dich, mein Gott» (Kantate «Ich hatte viel Bekümmernis» BWV 21) | Johann Sebastian Bach — «Bäche von gesalznen Zähren» (Kantate «Ich hatte viel Bekümmernis» BWV 21) | Johann Sebastian Bach — «Erfreue dich, Seele» (Kantate «Ich hatte viel Bekümmernis» BWV 21) | Reinhard Keiser — «Betrübter Geist» (Suite aus «Hercules und Hebe») | Heinrich Schütz — Bis: «Es steh Gott auf»
000000e9:001bf00d;2025-11-18T19:30:00;Rimini Protokoll;rainy days 2025 | Sweat;0000010f:0000017d;Outside-the-box;Music and More;Crossover;Daniel Wetzel (conception) | Daniel Wetzel (texte) | Daniel Wetzel (mise en scène) | Arved Schultze (dramaturgie) | Arved Schultze (Forschung) | Arved Schultze (texte) | Erik Veenstra (dramaturgie) | Erik Veenstra (Forschung) | Erik Veenstra (texte) | Yiannnis Panagopoulos (collaboration artistique) | Alfredo Bautista (installation artistique interactive) | Alfredo Bautista (instruments) | Benjamin Maus (installation artistique interactive) | Benjamin Maus (instruments) | Klaudiusz Schimanowski (installation artistique interactive) | Klaudiusz Schimanowski (instruments) | Wooly Aziz (composition) | Schneider TM (composition) | Güner Künier (composition) | Sophia Wind (composition) | Fabian Tombers (direction numérique) | Fabian Tombers (Sounddesign) | Fabian Tombers (programmation) | Lena Loy (scénographie) | Lisa Wadle (Coaching) | Patrick Tucholski (Technische Leitung) | Monica Ferrari (Produktionsleitung) | Ksenia Lukina (Produktionsleitung);
000000e9:001b167e;2025-11-19T19:30:00;Aaron Parks Quartet;;Salle de Musique de Chambre;Jazz and More;Intimate;Jazz / Blues;Aaron Parks (piano) | Ben Street (bass) | Dayna Stephens (saxophone) | Cornelia Nilsson (Drums);
000000e9:001bf009;2025-11-19T19:30:00;Rimini Protokoll;rainy days 2025 | Sweat;0000010f:0000017d;Outside-the-box;Music and More;Crossover;Daniel Wetzel (conception) | Daniel Wetzel (texte) | Daniel Wetzel (mise en scène) | Arved Schultze (dramaturgie) | Arved Schultze (Forschung) | Arved Schultze (texte) | Erik Veenstra (dramaturgie) | Erik Veenstra (Forschung) | Erik Veenstra (texte) | Yiannnis Panagopoulos (collaboration artistique) | Alfredo Bautista (installation artistique interactive) | Alfredo Bautista (instruments) | Benjamin Maus (installation artistique interactive) | Benjamin Maus (instruments) | Klaudiusz Schimanowski (installation artistique interactive) | Klaudiusz Schimanowski (instruments) | Wooly Aziz (composition) | Schneider TM (composition) | Güner Künier (composition) | Sophia Wind (composition) | Fabian Tombers (direction numérique) | Fabian Tombers (Sounddesign) | Fabian Tombers (programmation) | Lena Loy (scénographie) | Lisa Wadle (Coaching) | Patrick Tucholski (Technische Leitung) | Monica Ferrari (Produktionsleitung) | Ksenia Lukina (Produktionsleitung);
000000e9:001c99ac;2025-11-20T09:00:00;Claudia Molitor;rainy days 2025 | The unheard also glistens;Grand Foyer;Mood-booster;Outside-the-box;Contemporary / Experimental;Claudia Molitor (conception) | Claudia Molitor (Musik);
000000e9:001bc3d0;2025-11-20T11:30:00;Hearing Voices ;rainy days 2025 | A Multichannel Experience;0000010f:0000014d;Thought-provoking;Outside-the-box;Contemporary / Experimental;Iain Chambers (électronique);Musique de Iain Chambers et de compositeurs anonymes
000000e9:001c3c08;2025-11-20T11:30:00;Alisa Oleva ;rainy days 2025 | drip drop ;Grand Foyer;Outside-the-box;Mood-booster;0;Alisa Oleva (conception);Walking score for listening
000000e9:001b9a99;2025-11-20T12:30:00;Luxembourg Composition Academy Final Concert;rainy days 2025;Salle de Musique de Chambre;Mood-booster;Outside-the-box;Contemporary / Experimental;United Instruments of Lucilin (ensemble) | Julien Leroy (direction);Nouvelles œuvres de Raphaëlle Aoun, Özkan Umutcan Bapbacı, Nien Chin Chai, Ignacio Escobar Gutiérrez, Nolan Hildebrand, James Alexander Preller, Edward Robson, Gloria (Xinyue) Xia
000000e9:001b9a9d;2025-11-20T17:30:00;Walking Piece – Intersections;rainy days 2025;Grand Foyer;Outside-the-box;Mood-booster;Contemporary / Experimental;Michael Parsons (direction) | Danseuses et danseurs | du Conservatoire de la Ville de Luxembourg;Michael Parsons — Walking Piece – Intersections (version révisée de 2025)
000000e9:001b9a97;2025-11-20T18:00:00;Jonathan Burrows, Matteo Fargion and the Bozzini Quartet;rainy days 2025 | Any Table Any Room ;Espace Découverte;Mood-booster;Outside-the-box;Crossover / Contemporary / Experimental;Quatuor Bozzini (quatuor à cordes) | Matteo Fargion (Performance) | Jonathan Burrows (Performance);Matteo Fargion, Jonathan Burrows — Any Table Any Room
000000e9:001b9a9e;2025-11-20T19:15:00;Walking Piece – Intersections;rainy days 2025;Grand Foyer;Outside-the-box;Mood-booster;Crossover / Contemporary / Experimental;Michael Parsons (direction) | Danseuses et danseurs | du Conservatoire de la Ville de Luxembourg;Michael Parsons — Walking Piece – Intersections (version révisée de 2025)
000000e9:001c214d;2025-11-20T19:30:00;Rimini Protokoll;rainy days 2025 | Sweat;0000010f:0000017d;Outside-the-box;Music and More;0;Daniel Wetzel (conception) | Daniel Wetzel (texte) | Daniel Wetzel (mise en scène) | Arved Schultze (dramaturgie) | Arved Schultze (Forschung) | Arved Schultze (texte) | Erik Veenstra (dramaturgie) | Erik Veenstra (Forschung) | Erik Veenstra (texte) | Yiannnis Panagopoulos (collaboration artistique) | Alfredo Bautista (installation artistique interactive) | Alfredo Bautista (instruments) | Benjamin Maus (installation artistique interactive) | Benjamin Maus (instruments) | Klaudiusz Schimanowski (installation artistique interactive) | Klaudiusz Schimanowski (instruments) | Wooly Aziz (composition) | Schneider TM (composition) | Güner Künier (composition) | Sophia Wind (composition) | Fabian Tombers (direction numérique) | Fabian Tombers (Sounddesign) | Fabian Tombers (programmation) | Lena Loy (scénographie) | Lisa Wadle (Coaching) | Patrick Tucholski (Technische Leitung) | Monica Ferrari (Produktionsleitung) | Ksenia Lukina (Produktionsleitung);
000000e9:0019f8c6;2025-11-20T19:45:00;The orchestra: a body of sound;rainy days 2025;Grand Auditorium;Mood-booster;Epic;Orchestra / Contemporary / Experimental;Luxembourg Philharmonic (orchestre) | Ilan Volkov (direction) | Ilya Gringolts (violon);Hilda Fanny Dianda — Ludus – I | Michael Parsons — Levels (création de la version révisée de 2021/22) | Bernhard Lang — Monadologie XXXIX für Violine und Orchester (création)
000000e9:001ba181;2025-11-20T21:15:00;Bozzini Quartet;rainy days 2025 | Hirn & Ei;Grand Foyer;Outside-the-box;Mood-booster;Crossover / Contemporary / Experimental;Quatuor Bozzini (quatuor à cordes);Carola Bauckholt — Hirn & Ei
000000e9:001b9aa0;2025-11-20T21:45:00;Exaudi Vocal Ensemble ;rainy days 2025 | Voices/Places ;Salle de Musique de Chambre;Intimate;Instrument Focus;Contemporary / Experimental / Vocal / Choral;Exaudi (ensemble vocal) | James Weeks (direction);Aaron Einbond — Buried Gardens (commande Philharmonie) | Andrew Hamilton — Proclamation of the Republic | Catherine Lamb — song/form | Cassandra Miller — Guide
000000e9:001c99ad;2025-11-21T09:00:00;Claudia Molitor;rainy days 2025 | The unheard also glistens;Grand Foyer;Mood-booster;Outside-the-box;Contemporary / Experimental;Claudia Molitor (conception) | Claudia Molitor (Musik);
000000e9:001ba183;2025-11-21T11:00:00;In Annea Lockwood’s Piano Garden;rainy days 2025 | A happening ;0000010f:00000270;Outside-the-box;Intimate;Crossover / Contemporary / Experimental;Catherine Kontz (Performance) | & volontaires;
000000e9:001ba216;2025-11-21T11:15:00;Alisa Oleva ;rainy days 2025 | drip drop ;Grand Foyer;Outside-the-box;Mood-booster;Contemporary / Experimental;Alisa Oleva (conception);Walking score for listening
000000e9:001bc3d1;2025-11-21T11:15:00;Hearing Voices ;rainy days 2025 | A Multichannel Experience;0000010f:0000014d;Thought-provoking;Outside-the-box;Contemporary / Experimental;Iain Chambers (électronique);Musique de Iain Chambers et de compositeurs anonymes
000000e9:001ba185;2025-11-21T12:15:00;Michael Parsons, Siwan Rhys;rainy days 2025 | Space-Time Pianos;Salle de Musique de Chambre;Thought-provoking;Instrument Focus;Chamber / Contemporary / Experimental;Michael Parsons (piano) | Siwan Rhys (piano);Michael Parsons — Space/Time Piano Piece September 2001 | Michael Parsons — Oblique Piece 14 | Michael Parsons — Piano Piece December 2000 | Michael Parsons — Krapp Music (version de 2025) | Michael Parsons — Oblique Pieces 2 & 16 | Michael Parsons — Two Canons | Michael Parsons — Jive 1 & 2 | Michael Parsons — Transient | Michael Parsons — Space/Time Pieces February 2002
000000e9:001ba187;2025-11-21T13:30:00;jez riley French / Pheobe riley Law;rainy days 2025 | soft-hued vessels;Salon PhilaPhil;Intimate;Instrument Focus;Electronic / Contemporary / Experimental;Jez riley French (Performance) | Pheobe riley Law (Performance) | Ellen van der Woude (céramique);Jez riley French, Pheobe riley Law — soft-hued vessels (création)
000000e9:001ba1b2;2025-11-21T17:00:00;Pricklings: prick me;rainy days 2025 | Interactive, durational performance;Grand Foyer;Outside-the-box;Thought-provoking;Crossover / Contemporary / Experimental;E.M. Parry (Performance) | Fritha Jenkins (Performance) | K.A. Harper (Performance);
000000e9:001ba188;2025-11-21T17:15:00;jez riley French / Pheobe riley Law;rainy days 2025 | soft-hued vessels;Salon PhilaPhil;Intimate;Instrument Focus;Electronic / Contemporary / Experimental;Jez riley French (Performance) | Pheobe riley Law (Performance) | Ellen van der Woude (céramique);Jez riley French, Pheobe riley Law — soft-hued vessels (création)
000000e9:001ba18a;2025-11-21T18:00:00;lovemusic: Protest of the Physical;rainy days 2025 | Bodies of sound, spaces of resistance ;Espace Découverte;Outside-the-box;Thought-provoking;Chamber / Contemporary / Experimental;lovemusic (ensemble);Annette Schlünz, Anne-Hélène Kotoujansky — In die Ferne, dem Berg zu (création) | Nik Bohnenberger — hands, drum – three bones (création, commande Philharmonie) | Bethany Younge — Seed (création) | Helmut Oehring — [iɱ'ˈfɛrno] (aus Mappa) I: Contrapasso I–V (an: Wladimir Putin / Sergej Lawrow) auf Dante Alighieri und Sandro Botticelli
000000e9:001ba1b3;2025-11-21T18:30:00;Pricklings: prick me;rainy days 2025 | Interactive, durational performance;Grand Foyer;Outside-the-box;Thought-provoking;Crossover / Contemporary / Experimental;E.M. Parry (Performance) | Fritha Jenkins (Performance) | K.A. Harper (Performance);
000000e9:001ba18c;2025-11-21T19:15:00;United Instruments of Lucilin;rainy days 2025 | In a Large, Open Space;Grand Foyer;Outside-the-box;Mood-booster;Contemporary / Experimental;United Instruments of Lucilin (ensemble) | Helmut Oehring (guitare) | Rosie Middleton (mezzo-soprano);Iannis Xenakis — Okho | Giacinto Scelsi — Arc-en-ciel | Jessie Marino — YjQzljv1uFQ – For Toshi Makihara | Helmut Oehring — ὀξύμωρον (Oxymoron) ὀξύς / oxys (scharf) – μωρός / mōros (stumpf) | Helmut Oehring — (ma-te-re / mā́tēr) | Laura Bowler — Wicked Problems | James Tenney — In a Large, Open Space
000000e9:001ba1b4;2025-11-21T20:15:00;Pricklings: prick me;rainy days 2025 | Interactive, durational performance;Grand Foyer;Outside-the-box;Thought-provoking;Crossover / Contemporary / Experimental;E.M. Parry (Performance) | Fritha Jenkins (Performance) | K.A. Harper (Performance);
